mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08837499618530273,0.010793664488043976,0.0024489879608154295,0.00022752855497217518,0.01,10,10,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 10}",0.708029197080292,0.708029197080292,0.7065693430656934,0.7065693430656934,0.7065693430656934,0.7071532846715328,0.0007151794869440145,25
0.46451387405395506,0.0812499418446492,0.003410959243774414,0.00018061812332650657,0.01,10,50,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50}",0.7401459854014598,0.7313868613138687,0.7489051094890511,0.7357664233576642,0.7401459854014598,0.7392700729927008,0.005810145618140839,22
0.8145456314086914,0.0721514747769916,0.00511322021484375,0.0003119802938132985,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.11295161247253419,0.020249362574538136,0.004617643356323242,0.003067570487017925,0.01,20,10,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 10}",0.708029197080292,0.708029197080292,0.7065693430656934,0.7065693430656934,0.7065693430656934,0.7071532846715328,0.0007151794869440145,25
0.5135352134704589,0.11603101484999404,0.008480119705200195,0.010436769681436465,0.01,20,50,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 50}",0.7401459854014598,0.7313868613138687,0.7489051094890511,0.7357664233576642,0.7401459854014598,0.7392700729927008,0.005810145618140839,22
0.8440710067749023,0.1032647405698667,0.005853462219238281,0.001639789661961391,0.01,20,100,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.08527393341064453,0.010695153758447741,0.0022973537445068358,8.983685458748032e-05,0.01,30,10,"{'learning_rate': 0.01, 'max_depth': 30, 'n_estimators': 10}",0.708029197080292,0.708029197080292,0.7065693430656934,0.7065693430656934,0.7065693430656934,0.7071532846715328,0.0007151794869440145,25
0.3979206562042236,0.01639402124596595,0.004944467544555664,0.0016876324121717094,0.01,30,50,"{'learning_rate': 0.01, 'max_depth': 30, 'n_estimators': 50}",0.7401459854014598,0.7313868613138687,0.7489051094890511,0.7357664233576642,0.7401459854014598,0.7392700729927008,0.005810145618140839,22
0.7586933612823487,0.03787736399682816,0.005646896362304687,0.0018085053912011452,0.01,30,100,"{'learning_rate': 0.01, 'max_depth': 30, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.08385963439941406,0.013246891543063917,0.0023052215576171873,0.00013209485790033196,0.1,10,10,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.3856357574462891,0.03910804668618883,0.0034833908081054687,0.00014715148347199385,0.1,10,50,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.8092644691467286,0.05426786041617095,0.004978370666503906,0.00032998803680687257,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.09925322532653809,0.03106443503251518,0.002524852752685547,0.0005488473782286233,0.1,20,10,"{'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.3783116817474365,0.017493142122627255,0.003345346450805664,0.00010992979893708348,0.1,20,50,"{'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.798133373260498,0.12412628488042711,0.004814434051513672,0.0001563252571875848,0.1,20,100,"{'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.08701367378234863,0.016285208997359683,0.0029495716094970702,0.0013149234585918515,0.1,30,10,"{'learning_rate': 0.1, 'max_depth': 30, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,16
0.3722949981689453,0.011824906051835803,0.003471565246582031,0.00015398476885933803,0.1,30,50,"{'learning_rate': 0.1, 'max_depth': 30, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.791159725189209,0.07683594236238198,0.004865694046020508,0.0004155633891373846,0.1,30,100,"{'learning_rate': 0.1, 'max_depth': 30, 'n_estimators': 100}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.08799829483032226,0.01491912424116235,0.0024286746978759766,0.0003386252154543498,0.2,10,10,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.40717554092407227,0.025738154750458778,0.003620815277099609,0.00028316397206167466,0.2,10,50,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.8379364013671875,0.12092977053061064,0.004814577102661133,0.00019397313611327116,0.2,10,100,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100}",0.745985401459854,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.748029197080292,0.006096529348268948,13
0.08092312812805176,0.010816730168492496,0.004309415817260742,0.004095331796769851,0.2,20,10,"{'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.4640592098236084,0.03893846285113813,0.004725503921508789,0.0011856250339023849,0.2,20,50,"{'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.813097333908081,0.06289488552923864,0.004938316345214844,0.00021065883138412763,0.2,20,100,"{'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 100}",0.745985401459854,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.748029197080292,0.006096529348268948,13
0.09138493537902832,0.017193959511762422,0.0022142887115478515,8.144381453895538e-05,0.2,30,10,"{'learning_rate': 0.2, 'max_depth': 30, 'n_estimators': 10}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.43564605712890625,0.051507710299317215,0.003879213333129883,0.0012292809649046257,0.2,30,50,"{'learning_rate': 0.2, 'max_depth': 30, 'n_estimators': 50}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.7042177677154541,0.02953841861852201,0.0038318634033203125,0.0005285437592054857,0.2,30,100,"{'learning_rate': 0.2, 'max_depth': 30, 'n_estimators': 100}",0.745985401459854,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.748029197080292,0.006096529348268948,13
